대주제,소주제,질문(Question),답변(Answer),관련 태그
"위촉 심사 및 제한","심사 대상 및 기준","부실모집 및 법규 위반 이력자의 위촉 제한 세부 기준은 무엇인가요?","고의 또는 과실로 인한 부실모집 사실이 등재된 자, 또는 직전 3년 이내에 1건 이상의 법규 위반 사실이 있는 자는 위촉 불가 대상입니다.","부실모집, 법규위반, 위촉불가, 제재이력, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","불완전판매 이력이 위촉에 미치는 영향과 구체적 수치는 어떻게 되나요?","직전 3년 이내에 불완전판매 건수가 3건을 초과하는 경우 위촉 불가 대상에 해당합니다.","불완전판매, 위촉제한, 3년이내, 건수기준, 심화"
"위촉 심사 및 제한","위촉 결격 사유","경력증명서상 '금융사고자'로 등재된 경우의 처리는 어떻게 되나요?","전 소속 회사의 경력증명서상에 금융사고자(사고, 제재 이력 등)로 등재된 건이 있는 경우 위촉이 불가합니다.","금융사고자, 경력증명서, 위촉불가, 제재내역, 일반"
"위촉 심사 및 제한","재입사 규정","퇴사 후 당사에 재입사할 때 전 소속으로 편입되는 기준 기간은?","협회 말소 후 6개월이 경과되지 않은 상태에서 재입사할 경우 원칙적으로 전 소속으로 편입됩니다. 단, 최상위 관리자의 동의를 얻어 회사 승인을 받은 경우에는 재입사가 가능합니다.","재입사, 말소기간, 소속편입, 관리자동의, 심화"
"위촉 심사 및 제한","재입사 규정","재입사 시 전 소속의 계약 및 환수금이 남아있는 경우의 처리 방식은?","말소 후 6개월이 경과했더라도 전 소속의 계약 및 환수예상금이 남아있다면 '전건 소속변경'으로 처리합니다. 단, 말소 후 2년이 경과하고 환수금이 전혀 없는 경우에는 일반 입사가 가능합니다.","재입사, 환수예상금, 소속변경, 2년경과, 심화"
"위촉 심사 및 제한","재입사 규정","당사 등록 횟수에 따른 재입사 제한 규정은 어떻게 되나요?","당사 등록 이력이 3회 이상인 자는 재입사가 제한됩니다.","재입사제한, 등록횟수, 인사규정, 입사제한, 일반"
"위촉 심사 및 제한","재입사 규정","환수금 상환 여부에 따른 재입사 금지 조건은 무엇인가요?","환수금이 남아있거나, 1년 이상 환수금을 상환하지 않은 이력이 있는 경우 재입사가 제한됩니다.","환수금미상환, 재입사제한, 상환이력, 금융건전성, 심화"
"위촉 심사 및 제한","위촉 결격 사유","강제해촉 처분을 받은 설계사의 재입사가 가능한가요?","보험업법 위반 등의 사유로 강제해촉 처분을 받은 이력이 있는 경우 재입사가 제한됩니다.","강제해촉, 보험업법위반, 재입사제한, 징계이력, 일반"
"위촉 심사 및 제한","심사 대상 및 기준","위촉 불가와 심사 대상의 근본적인 차이점은 무엇인가요?","'위촉 불가'는 심사 자체가 불가능한 결격 사유를 의미하며, '심사 대상'은 위촉제한자 심사 위원회를 통해 승인 여부를 판단받을 수 있는 대상을 의미합니다(전건 승인을 의미하지 않음).","위촉불가, 심사대상, 승인여부, 심사위원회, 기초"
"위촉 심사 및 제한","심사 대상 및 기준","위촉 중 추가로 위촉 제한 사유가 확인될 경우 어떤 조치가 취해지나요?","위촉 이후라도 부실모집, 법규위반, 불완전판매 등의 위촉 제한 사유가 추가로 확인될 경우 강제해촉 될 수 있습니다.","강제해촉, 사후검증, 위촉제한, 인사조치, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","보험설계사 등록 제한 사유는 무엇입니까?","보험업법 제84조 제2항의 '등록제한사유'에 해당하거나 당사 인사 규정에 부합하지 않는 자는 등록이 제한됩니다.","등록제한, 보험업법, 인사규정, 법규, 일반"
"위촉 심사 및 제한","재입사 규정","협회 말소 후 2년이 경과한 경우 재입사 조건은 무엇인가요?","협회 말소 후 2년 경과 시 환수금이 없다면 입사가 가능합니다.","재입사, 2년경과, 환수금, 일반"
"위촉 심사 및 제한","재입사 규정","퇴사 후 6개월이 경과한 자의 재입사 기준은 무엇인가요?","전 소속의 계약 및 환수예상금이 남아있을 경우, 전건 소속이관으로 진행해야합니다.","재입사, 6개월경과, 소속이관, 일반"
"위촉 심사 및 제한","재입사 규정","퇴사 후 6개월 이내 재입사 시 기준은 무엇인가요?","협회 말소 후 6개월 이내 재입사 시 전 소속으로 편입됩니다. (최상위관리자 동의 및 회사 승인 시 가능)","재입사, 6개월미경과, 소속편입, 일반"
"위촉 심사 및 제한","심사 대상 및 기준","증빙 서류 제출 후 심사를 통해 위촉 여부를 판단하는 채무/회생 심사 기준은 무엇인가요?","금융/사고 규제 및 회생/회복의 경우 '채무 1,000만원 이하'만 심사가 가능하며, 채무확인서, 변제확인서, 판결문, 상환계획서 등의 증빙서류가 필요합니다.","심사대상, 채무, 회생, 금융규제, 심화"
"위촉 심사 및 제한","위촉 결격 사유","위촉이 아예 불가한(심사 불가) 파산 및 금융사고 관련 기준은 무엇인가요?","1. 복권되지 않은 파산자","위촉제한, 심사불가, 파산, 금융사고, 수당환수, 일반"
"위촉 및 등록","등록 자격","신인 및 경력 설계사의 협회등록을 위한 세부 자격 요건과 필수 교육 기준은 무엇입니까?","신인 설계사는 시험 합격 및 신인 등록교육 이수를 모두 충족한 날로부터 1년 이내에 등록해야 하며, 합격증과 수료증을 제출해야 합니다. 경력 설계사는 등록예정일 기준 최근 3년 이내에 1년(365일) 이상의 설계사 경력이 있어야 하며, 경력자 등록교육 또는 보수교육을 이수한 날로부터 1년 이내에 신청 가능합니다. 단, 신규등록교육과 경력자등록교육은 상호 인정되지 않으므로 주의가 필요합니다.","설계사자격, 경력요건, 등록교육, 보수교육, 심화"
"위촉 및 등록","등록 자격","유자격자(대리점) 등록을 위한 경력 산정 기준 및 지점 설치 시 필수 상주 인력 규정은 어떻게 됩니까?","유자격 경력자는 등록예정일 기준 최근 4년 이내에 설계사 또는 대리점 경력이 2년(730일) 이상이어야 하며, 교육 이수 후 1년 이내에 등록해야 합니다. 법인대리점의 지점 설치 시에는 영업하고자 하는 보험종목(생보, 손보, 제3보험)별로 유자격자 1인 이상이 상시 등록되어 있어야 하므로, 각 지점의 지점장 및 대표는 반드시 유자격 등록을 완료해야 합니다.","유자격자, 대리점등록, 지점설치기준, 경력산정, 심화"
"위촉 및 등록","등록 자격","보험설계사 시험 합격 및 교육 이수 결과의 유효기간 산정 방식과 실효 기준은 무엇입니까?","시험 합격일과 교육 수료일 중 더 최근 날짜로부터 1년간 유효합니다. 단, 시험 합격일 전후 1년 이내에 반드시 교육을 수료해야 합니다. 예를 들어 시험 합격 후 1년이 경과한 시점에 교육을 수료한 경우, 해당 시험 결과는 효력을 상실하여 시험에 재응시해야 합니다.","유효기간, 시험합격, 교육수료, 등록실효, 심화"
"위촉 및 등록","등록 자격","보험회사 내근 경력자 및 대리점 경력자의 경력 인정 범위와 증빙 시 주의사항은 무엇입니까?","내근 경력자는 경력증명서 원본(주민등록번호 뒷자리 포함)을 제출해야 하며, 운전기사, 교환원, 경비 등 보험업무와 직접 관련이 없는 직종은 경력에서 제외됩니다. 대리점 경력자의 경우 모집업무(유자격자, 사용인)에 종사하지 않은 단순 임원이나 대표는 경력이 인정되지 않으며, 개인대리점 경력은 계약체결일부터 계약해지일까지의 기간으로 산정합니다.","내근경력, 경력증명서, 모집업무, 경력인정범위, 심화"
"위촉 및 등록","협회 및 위촉 프로세스","협회 등록과 보험사 위촉의 선후 관계 및 등록 비용 정산 방식은 어떻게 됩니까?","반드시 손·생보 협회 등록이 선행되어야만 각 보험사별 코드 위촉이 가능하며, 협회 등록 이전에는 보험사 위촉이 절대 불가합니다. 생보의 경우 협회 등록 당일에는 위촉이 불가하며 익일 이후부터 가능합니다. 협회 등록에 따른 등록비(6,000원)는 등록 익월에 본인 부담으로 수수료에서 공제 처리됩니다.","협회등록, 보험사위촉, 등록비용, 위촉일정, 심화"
"위촉 및 등록","등록 자격","신인 보험설계사의 협회등록을 위한 자격 요건 및 유효 기간은 어떻게 되나요?","신인 설계사는 보험설계사 시험 합격 및 신인 등록교육 이수라는 두 가지 요건을 모두 충족해야 합니다. 해당 요건을 충족한 날로부터 1년 이내에 등록 신청을 완료해야 하며, 필수 서류로 합격증 및 신인 등록교육 수료증을 제출해야 합니다.","신인설계사, 등록자격, 교육이수, 유효기간, 심화"
"위촉 및 등록","등록 자격","경력 보험설계사의 협회등록을 위한 경력 인정 기준 및 교육 조건은 무엇인가요?","등록예정일 기준 최근 3년 이내에 설계사(사용인) 경력이 1년(365일) 이상이어야 하며, 경력자 등록교육을 이수해야 합니다. 요건 충족일로부터 1년 이내에 등록해야 하며, 경력자 등록교육 대신 보수교육을 이수한 경우에도 등록이 가능합니다.","경력설계사, 경력인정기준, 보수교육, 등록조건, 심화"
"위촉 및 등록","등록 자격","유자격자(대리점) 신인 등록을 위한 자격 및 필수 교육 과정은 무엇인가요?","대리점 시험 합격 및 신인 등록교육 이수 요건을 충족한 날로부터 1년 이내여야 합니다. 보험연수원 수강 신청 시 반드시 '대리점(유자격자) 과정'을 선택하여 이수해야 하며, 합격증과 해당 수료증을 제출해야 합니다.","유자격자, 대리점시험, 신인등록, 교육과정, 심화"
"위촉 및 등록","등록 자격","유자격자(대리점) 경력 등록을 위한 세부 경력 및 교육 기준은 어떻게 되나요?","등록예정일 기준 최근 4년 이내에 설계사 또는 대리점(유자격자) 경력이 2년(730일) 이상이어야 합니다. 또한 경력자 등록교육(또는 보수교육) 이수 후 1년 이내에 등록 신청을 완료해야 합니다.","유자격자경력, 경력산정, 대리점등록, 보수교육, 심화"
"위촉 및 등록","등록 자격","법인대리점 지점 설치 시 유자격자 등록과 관련한 필수 규정은 무엇인가요?","법인대리점 지점 설치 시, 영업하고자 하는 보험 종목(손보, 생보, 제3보험)별로 유자격자 1인 이상이 상시 등록되어 있어야 합니다. 이에 따라 각 지점의 지점장 및 대표는 반드시 유자격 등록을 진행해야 합니다.","법인대리점, 지점설치, 유자격자필수, 지점장등록, 심화"
"위촉 및 등록","특수 대상 등록","미성년자(미혼/기혼)의 협회등록 시 추가로 제출해야 하는 서류는 무엇인가요?","미혼 미성년자는 법정대리인의 등록동의서, 법정대리인 인감증명서(동의서 도장 일치 필수), 주민등록등본 또는 가족관계증명서를 제출해야 합니다. 기혼 미성년자는 가족관계증명서 또는 주민등록등본만 제출하면 됩니다.","미성년자등록, 법정대리인, 인감증명서, 가족관계증명서, 심화"
"위촉 및 등록","특수 대상 등록","외국인(F-2, F-5, F-6 비자)의 협회등록 시 필수 서류 및 유효기간은 어떻게 되나요?","외국인등록사실증명서(발급일로부터 3개월 이내)와 외국인등록증 앞/뒷면 사본을 제출해야 합니다. 대상 비자는 F-2(거주), F-5(영주), F-6(결혼이민)에 한합니다.","외국인등록, 비자타입, 외국인등록사실증명, 서류유효기간, 심화"
"위촉 및 등록","특수 대상 등록","재외동포(F-4 비자)의 협회등록을 위해 필요한 증빙 서류는 무엇인가요?","국내 거소신고사실 증명서(발급일로부터 3개월 이내)와 국내거소신고증 앞/뒷면 사본을 제출해야 합니다.","재외동포, F-4비자, 국내거소신고, 증빙서류, 일반"
"위촉 및 등록","등록 자격","손해보험협회 및 생명보험협회의 경력 조회 시 공통 확인 사항은 무엇인가요?","각 협회 홈페이지의 모집종사자 코너를 통해 전체 경력 및 최근 3~4년 이내 경력 일수를 확인해야 합니다. 특히 당사 협회등록을 위해서는 손보와 생보 협회 양쪽 모두에서 말소 처리가 완료되어야 합니다.","경력조회, 협회말소, 손해보험협회, 생명보험협회, 체크리스트, 심화"
"위촉 및 등록","협회 및 위촉 프로세스","협회 '등록'과 보험사 '위촉'의 선후 관계 및 차이점은 무엇인가요?","협회 등록이 반드시 선행되어야 보험사 위촉이 가능합니다. 협회 등록은 설계사 자격을 협회에 신고하는 절차이며, 이후 각 보험사별로 위촉 서류를 접수하여 개별 코드를 부여받는 것이 위촉입니다.","협회등록, 보험사위촉, 코드부여, 등록절차, 기초"
"위촉 및 등록","등록 자격","생명보험 설계사의 협회 등록 후 타 생보사 위촉이 가능한 시점은 언제인가요?","협회 등록 당일에는 위촉이 불가합니다. 예를 들어 15일에 협회 등록이 진행되었다면, 타 생보사 위촉은 통상적으로 그 이후(예: 28일 등 일정에 따라) 가능합니다.","생보위촉, 위촉일정, 등록당일위촉불가, 일정관리, 심화"
"위촉 및 등록","등록 자격","손해보험 설계사의 협회 등록 및 코드 부여 일정은 어떻게 되나요?","롯데손보 기준, 매주 화요일/목요일 오전 10시 마감 후 다음주 화요일/목요일에 등록됩니다. 협회 등록일 이후 2~3일 이내에 순차적으로 코드가 부여됩니다.","손보등록, 코드부여, 등록일정, 영업지원, 심화"
"위촉 및 등록","협회 및 위촉 프로세스","협회 등록 시 발생하는 등록비용의 처리 방식은 어떻게 되나요?","각 협회 등록비 6,000원이 발생하며, 익월 수수료에서 공제됩니다.","등록비, 수수료공제, 본인부담, 행정비용, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","협회 등록 서류 접수 후 진행 상태(피드백)는 어디서 확인하나요?","IIMS 내 '보험설계사 협회등록' 화면에서 확인할 수 있습니다. 진행 상태는 신청, 서류접수, 등록완료, 보완요청, 반송, 등록불가 등으로 구분되어 표시됩니다.","IIMS, 진행상태, 서류접수, 피드백확인, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","협회 지점 코드는 언제 입력하며, 추가 위촉 시에도 입력해야 하나요?","손보/생보 각각 최초 협회 등록 시에만 입력합니다. 이후 추가 위촉 시에는 서류 출력용으로만 활용하며 별도의 지점 코드 입력은 필요하지 않습니다.","협회지점코드, 최초등록, 추가위촉, IIMS입력, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","e클린보험서비스 조회 결과가 필요한 대상은 누구인가요?","직전 3년 이내에 협회 경력이 있는 모든 등록 예정자는 e클린보험서비스 조회 결과를 첨부해야 합니다.","e클린보험서비스, 경력조회, 필수서류, 3년이내경력, 일반"
"위촉 및 등록","구비 서류 및 동의","영업지원부 서류 접수 시 보완 사항이 발생하면 등록 일정은 어떻게 변동되나요?","서류 보완이 발생할 경우, 보완이 완료된 날짜를 기준으로 접수일이 재산정되어 등록 일정이 지연될 수 있습니다.","서류보완, 등록일정, 영업지원, 일정지연, 일반"
"위촉 및 등록","등록 자격","신규 설계사의 사원번호 생성 절차는 어떻게 진행됩니까?","FA가 개인정보활용동의서를 작성하여 제출하면, 관리자 또는 총무가 IIMS(인사관리 > 직원관리 > 신규등록)에 인적사항을 입력하고 동의서 파일을 업로드하여 사원번호를 생성합니다.","사원번호, 신규등록, 개인정보활용동의, IIMS, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","위촉계약서 제출 시 본인인증이 불가능한 경우의 처리 방법은 무엇입니까?","전자 서명이 불가능할 경우 서면 위촉계약서를 작성하여 관리자 또는 총무를 통해 본사 인사 담당자에게 원본을 제출해야 합니다.","위촉계약서, 본인인증, 서면계약, 일반"
"위촉 및 등록","구비 서류 및 동의","신규(무경력) 설계사가 입사 시 준비해야 할 공통 구비서류는 무엇입니까?","신분증 사본, 통장 사본, 반명함 사진, 손보/생보 시험합격증(1년 이내), 손보/생보 교육수료증(1년 이내)이 필요합니다.","구비서류, 신규설계사, 입사준비, 체크리스트, 일반"
"위촉 및 등록","구비 서류 및 동의","경력 설계사 위촉 시 추가로 제출해야 하는 서류는 무엇입니까?","공통 서류 외에 직전 근무지의 경력증명서(금융사고 여부 포함)와 발급 1개월 이내의 E-클린서비스 조회내역지 출력본을 제출해야 합니다.","경력설계사, 경력증명서, E-클린서비스, 필수서류, 심화"
"위촉 및 등록","구비 서류 및 동의","경력증명서 발급 시 반드시 포함되어야 하는 필수 기재 사항은 무엇입니까?","해당 경력 기간 동안의 '금융사고 여부'가 반드시 포함되어 있어야 합니다.","경력증명서, 금융사고, 필수기재사항, 일반"
"위촉 및 등록","구비 서류 및 동의","E-클린서비스 조회내역지의 유효 기간은 어떻게 됩니까?","제출일 기준 최근 1개월 이내에 발급된 서류만 유효합니다.","E-클린서비스, 유효기간, 서류제출, 일반"
"위촉 및 등록","구비 서류 및 동의","변액보험 판매 자격 보유자가 제출해야 하는 서류는 무엇입니까?","생명보험협회에서 발급한 변액보험 합격증 또는 변액합격확인서(사본)를 제출해야 합니다.","변액보험, 자격증, 생명보험협회, 일반"
"위촉 및 등록","구비 서류 및 동의","보증보험 동의 절차는 어디에서 진행합니까?","서울보증보험 홈페이지(www.sgic.co.kr)에 접속하여 '맞춤동의 > 보험수당 > 동의하기' 메뉴에서 진행합니다.","보증보험, 서울보증보험, 개인정보동의, 일반"
"위촉 및 등록","구비 서류 및 동의","보증보험 동의 시 입력해야 하는 회사명과 식별 정보는 무엇입니까?","회사명은 '인카금융서비스(주)'이며, 본인의 인카 사원번호(7자리)를 함께 입력해야 합니다.","보증보험, 사원번호, 정보입력, 일반"
"위촉 및 등록","구비 서류 및 동의","보증보험 동의 결과는 어디에서 확인할 수 있습니까?","IIMS 내 보증보험 등급현황 메뉴에서 동의 내역 및 결과를 확인할 수 있습니다.","보증보험, IIMS, 결과확인, 일반"
"위촉 및 등록","구비 서류 및 동의","E-클린 활용동의서의 출력 및 작성 경로는 어떻게 됩니까?","관리자가 IIMS(인사관리 > 보험설계사협회등록/위촉 > 위촉서류)에서 출력하며, FA가 직접 작성하여 제출합니다.","E-클린활용동의서, IIMS, 서류작성, 일반"
"위촉 및 등록","등록 자격","보험설계사 등록을 위한 법적 근거 규정은 무엇입니까?","금융소비자 보호에 관한 법률 제16조 및 보험업법 제83조, 제84조에 근거합니다.","보험업법, 금소법, 등록근거, 법규, 기초"
"위촉 및 등록","등록 자격","생명보험 유자격자 등록 시 제출해야 하는 교육 수료증의 종류는 무엇입니까?","(경력자등록) 생명보험+제3보험 교육(보험대리점 소속 설계사/유자격자용) 수료증이 필요합니다.","생명보험, 유자격자, 교육수료증, 일반"
"위촉 및 등록","구비 서류 및 동의","손해보험 설계사 신규 등록 시 제출 서류는 무엇입니까?","보험설계사 시험 합격증과 (신규) 손해보험+제3보험 등록교육(설계사) 수료증을 제출해야 합니다.","손해보험, 신규등록, 합격증, 수료증, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","손해보험사 코드 위촉은 협회 등록 후 언제 완료됩니까?","협회 등록 익일에 대부분의 보험사 코드가 자동 위촉됩니다.","손해보험, 코드위촉, 자동위촉, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","손해보험사 중 자동 위촉되지 않고 개별 위촉이 필요한 회사는 어디입니까?","DB손해보험, 현대해상, 삼성화재는 별도의 개별 위촉 절차가 필요합니다.","손해보험, 개별위촉, 보험사코드, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","생명보험사 코드 위촉 절차의 특징은 무엇입니까?","협회 등록 후 각 보험사별 일정에 맞춰 코드가 부여되며, 보험사별 위촉신청서를 작성하여 지원센터에 제출해야 합니다.","생명보험, 코드위촉, 위촉신청서, 일반"
"위촉 및 등록","등록 자격","본인에게 부여된 보험설계사 코드를 확인하는 방법은 무엇입니까?","IIMS 상단의 '내설계사'를 클릭하거나, '인사관리 > 보험설계사관리(신)' 메뉴에서 확인할 수 있습니다.","설계사코드, 코드확인, IIMS, 기초"
"위촉 및 등록","협회 및 위촉 프로세스","말소 여부 확인은 입사 시 필수 사항입니까?","네, 이전 직장의 말소 여부를 반드시 체크해야 합니다.","말소여부, 위촉체크리스트, 인사관리, 일반"
"위촉 및 등록","구비 서류 및 동의","보험사 위촉 서류 중 '원본' 제출이 필수인 항목은 무엇입니까?","손보위촉서류, 생보위촉서류, 변액서류 원본은 자격 보유 시 반드시 제출해야 합니다.","원본제출, 위촉서류, 필수서류, 체크리스트, 일반"
"위촉 및 등록","구비 서류 및 동의","위촉 서류 발송 전 반드시 완료되어야 하는 선행 조건은 무엇입니까?","서울보증보험 홈페이지를 통한 개인정보동의가 완료되어 결과가 확인되어야 합니다.","서류제출, 보증보험, 선행조건, 일반"
"위촉 및 등록","협회 및 위촉 프로세스","금소법 인증문자는 언제 발송됩니까?","사이버캠퍼스에서 입문과정 수료 후 준법서약 및 본인인증 단계에서 발송됩니다.","금소법, 인증문자, 입문교육, 일반"
"위촉 및 등록","구비 서류 및 동의","최근 2년 및 3년 내 경력자가 추가로 제출해야 할 증빙 서류는 무엇인가요?","직전 2년 내 경력자는 '금융사고 유무가 포함된 직전 소속회사의 경력증명서', 직전 3년 내 경력자는 'e클린보험서비스 조회결과지'를 첨부해야 합니다.","필수증빙, 최근경력자, e클린, 경력증명서, 심화"
"위촉 및 등록","구비 서류 및 동의","**경력자(보험사/유관기관)**의 경력증명서 제출 기준과 주의사항은 무엇인가요?","1. 경력증명서 원본(주민등록번호 뒷자리 기재 필수, 용도: '협회제출용' 또는 '협회 등록용')","필수서류, 경력증명서, 내근경력, 일반"
"위촉 및 등록","등록 자격","경력이 1년 미만인 경력신인의 위촉 조건은 무엇인가요?","보험 경력이 있으나 1년 미만인 경우, 신인(설계사, 유자격자)과 동일한 조건으로 위촉이 진행됩니다.","등록자격, 경력신인, 위촉조건, 일반"
"시스템 및 전산","IIMS 및 전산 활용","IIMS 시스템을 통한 협회 등록 서류 출력 시 주의사항은 무엇인가요?","설계사/유자격자 및 손보/생보/변액 구분을 정확히 선택해야 합니다. 특히 유자격자는 '유자격자고지사항'을 반드시 선택하여 출력해야 하며, 자필 서명과 개인정보 기입 누락이 없어야 합니다.","IIMS, 서류출력, 유자격자고지사항, 자필서명, 체크리스트, 심화"
"시스템 및 전산","프로그램 설치","인카금융서비스의 영업관리시스템인 IIMS PLUS의 설치 방법은 어떻게 되나요?","인터넷 주소창에 'http://air.incar.co.kr'을 입력하여 접속한 후, 'IIMS PLUS 인카 보험영업관리시스템 설치하기'를 클릭하여 바탕화면에 아이콘을 생성합니다.","IIMS, 시스템설치, 영업관리, 일반"
"시스템 및 전산","프로그램 설치","모바일 영업 지원 앱인 IMO(인카모바일오피스+)의 설치 방법은 무엇입니까?","안드로이드(플레이스토어) 또는 iOS(앱스토어)에서 '인카모바일오피스'를 검색하여 '인카모바일오피스+' 앱을 다운로드 및 설치합니다.","IMO, 모바일앱, 시스템설치, 일반"
"시스템 및 전산","IIMS 및 전산 활용","IIMS 로그인을 위한 초기 아이디와 비밀번호 설정 규칙은 무엇입니까?","사원번호 생성 후 로그인이 가능하며, 초기 설정은 관리자 안내에 따릅니다. (사이버캠퍼스의 경우 ID: incar+사번 / PW: 사번으로 운영됨)","IIMS, 로그인, 계정관리, 일반"
"시스템 및 전산","프로그램 설치","인카 입문교육 수강을 위한 사이버캠퍼스 접속 주소는 무엇입니까?","PC 접속 시 'incar.fnkorea.com', 모바일 접속 시 'm-incar.fnkorea.com'으로 접속합니다.","입문교육, 사이버캠퍼스, 교육수강, 기초"
"시스템 및 전산","IIMS 및 전산 활용","작성된 E-클린 활용동의서의 전산 업로드 경로는 무엇입니까?","IIMS > 인사관리 > 위촉계약서 > 구비서류함의 'E-클린활용동의서 파일목록'에 업로드합니다.","E-클린활용동의서, IIMS, 전산업로드, 일반"
"시스템 및 전산","IIMS 및 전산 활용","IIMS에서 협회 등록을 신청하는 세부 경로는 어떻게 됩니까?","IIMS > 인사관리 > 보험설계사협회등록/위촉 > 개별등록 메뉴에서 FA 정보를 입력하고 저장합니다.","IIMS, 협회등록, 전산신청, 일반"
"시스템 및 전산","IIMS 및 전산 활용","보험연수원 교육 수료증 발급을 위한 웹사이트 주소는 무엇입니까?","www.in.or.kr 입니다.","보험연수원, 수료증, 교육기관, 기초"
